Run ID,Режим Скорости,Метод Выбора,Светофоры,Фазы (Длит-ти),Случ-е События,Мост,Интенс-ть,Коэф. Сопрот-я,Итог Запуска,Шаги,Выехало,Приехало,Ab Кол-во,aB Кол-во,AB Кол-во,ab Кол-во,Ab Ср. Время (норм.),aB Ср. Время (норм.),AB Ср. Время (норм.),ab Ср. Время (норм.),Total Кол-во,Total Ср. Время (норм.)
20250529_160023_583,actual,minimum,Вкл,"[15, 5, 15, 5]",Нет,Закрыт,0.3340634940234551,0.3992610196831985,OK,6325,1500,1500,671,829,0,0,2.199,1.725,N/A,N/A,1500,1.937
20250529_160027_016,actual,minimum,Вкл,"[15, 5, 15, 5]",Нет,Открыт,0.3340634940234551,0.3992610196831985,OK,6747,1500,1500,457,322,287,434,3.138,2.092,3.705,2.679,1500,2.889
20250529_160030_587,actual,random,Вкл,"[15, 5, 15, 5]",Да,Закрыт,0.42617470075935326,0.43053413155706177,OK,6210,1500,1500,752,748,0,0,4.563,2.262,N/A,N/A,1500,3.416
20250529_160032_380,actual,random,Вкл,"[15, 5, 15, 5]",Да,Открыт,0.42617470075935326,0.43053413155706177,Abnormal Exit,1999,595,433,103,121,78,131,1.816,1.857,2.432,1.554,433,1.859
20250529_160036_415,theoretical,minimum,Вкл,"[15, 5, 15, 5]",Да,Закрыт,0.36009605514873544,0.5948632253552613,OK,6722,1500,1500,681,819,0,0,5.254,2.321,N/A,N/A,1500,3.652
20250529_160039_031,theoretical,minimum,Вкл,"[15, 5, 15, 5]",Да,Открыт,0.36009605514873544,0.5948632253552613,Abnormal Exit,1999,559,322,121,45,0,156,2.111,2.675,N/A,2.619,322,2.436
20250529_160042_704,theoretical,random,Вкл,"[15, 5, 15, 5]",Нет,Закрыт,0.5750844575008525,0.6171822112778509,OK,5190,1500,1500,736,764,0,0,3.660,1.830,N/A,N/A,1500,2.728
20250529_160045_856,theoretical,random,Вкл,"[15, 5, 15, 5]",Нет,Открыт,0.5750844575008525,0.6171822112778509,OK,5991,1500,1500,367,374,385,374,1.690,2.608,2.160,2.456,1500,2.230
20250529_160048_618,theoretical,random,Выкл,N/A,Да,Закрыт,0.47614955475483406,0.39368171620117065,OK,5014,1500,1500,752,748,0,0,2.590,1.929,N/A,N/A,1500,2.260
20250529_160051_154,theoretical,random,Выкл,N/A,Да,Открыт,0.47614955475483406,0.39368171620117065,OK,4926,1500,1500,381,378,349,392,1.820,1.670,2.211,1.366,1500,1.755
20250529_160053_366,historical,weighted-probability,Выкл,N/A,Нет,Закрыт,0.4097211042985538,0.5640452522949131,OK,4964,1500,1500,743,757,0,0,1.545,1.547,N/A,N/A,1500,1.546
20250529_160055_671,historical,weighted-probability,Выкл,N/A,Нет,Открыт,0.4097211042985538,0.5640452522949131,OK,4966,1500,1500,376,396,310,418,1.571,1.576,1.900,1.397,1500,1.592
20250529_160058_908,actual,random,Вкл,"[15, 5, 15, 5]",Нет,Закрыт,0.5414084195468757,0.5465924056420495,OK,5423,1500,1500,769,731,0,0,4.377,1.661,N/A,N/A,1500,3.053
20250529_160101_713,actual,random,Вкл,"[15, 5, 15, 5]",Нет,Открыт,0.5414084195468757,0.5465924056420495,OK,6038,1500,1500,361,373,374,392,1.621,2.604,2.085,2.403,1500,2.185
20250529_160103_989,historical,weighted-probability,Выкл,N/A,Нет,Закрыт,0.34686403591801346,0.6901243232694105,OK,5623,1500,1500,753,747,0,0,1.589,1.578,N/A,N/A,1500,1.583
